ç
"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Rural 2007 (MWh)"
"Gravataí","4309209","-29.941299999990","-50.986899999990","4.636"
"Guabiju","4309258","-28.542100000000","-51.694800000000","973"
"Guaíba","4309308","-30.108599999990","-51.323300000000","2.216"
"Guaporé","4309407","-28.839900000000","-51.889499999990","2.479"
"Guarani das Missões","4309506","-28.149100000000","-54.562899999990","2.789"
"Harmonia","4309555","-29.545600000000","-51.418500000000","2.030"
"Herval","4307104","-32.024000000000","-53.394399999990","1.302"
"Herveiras","4309571","-29.455200000000","-52.655299999990","1.297"
"Horizontina","4309605","-27.628200000000","-54.305300000000","4.239"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","14.364"
"Humaitá","4309704","-27.569099999990","-53.969499999990","2.882"
"Ibarama","4309753","-29.420300000000","-53.129500000000","2.169"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","2.927"
"Ibirapuitã","4309951","-28.624700000000","-52.515799999990","2.138"
"Ibirubá","4310009","-28.630199999990","-53.096100000000","26.208"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","952"
"Ijuí","4310207","-28.388100000000","-53.920000000000","4.294"
"Ilópolis","4310306","-28.928200000000","-52.125799999990","1.732"
"Imbé","4310330","-29.975300000000","-50.128100000000","13"
"Imigrante","4310363","-29.350800000000","-51.774700000000","1.748"
"Independência","4310405","-27.835400000000","-54.188600000000","1.209"
"Inhacorá","4310413","-27.875200000000","-54.015000000000","18"
"Ipê","4310439","-28.817100000000","-51.285899999990","5.065"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","794"
"Iraí","4310504","-27.195100000000","-53.254300000000","1.283"
"Itaara","4310538","-29.601299999990","-53.772500000000","956"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","3.754"
"Itapuca","4310579","-28.776800000000","-52.169300000000","159"
"Itaqui","4310603","-29.131000000000","-56.551499999990","73.448"
"Itati","4310652","-29.488320000000","-50.113579999990","1.459"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","1.968"
"Ivorá","4310751","-29.523199999990","-53.584200000000","554"
"Ivoti","4310801","-29.599499999990","-51.153300000000","1.563"
