,,,,
Município,ibge,latitude,longitude,/Energia Elétr...umo/Residencial 2012 (MWh)
São Valentim,4319703,-27.558299999990,-52.523699999990,1299
São Valentim do Sul,4319711,-29.045100000000,-51.768400000000,454
São Valério do Sul,4319737,-27.790600000000,-53.936799999990,616
São Vendelino,4319752,-29.372900000000,-51.367500000000,1269
São Vicente do Sul,4319802,-29.688199999990,-54.682600000000,4441
Sapiranga,4319901,-29.634899999990,-51.006500000000,67055
Sapucaia do Sul,4320008,-29.827600000000,-51.145000000000,102902
Sarandi,4320107,-27.942000000000,-52.923099999990,12134
Seberi,4320206,-27.482900000000,-53.402600000000,4327
Sede Nova,4320230,-27.636700000000,-53.949300000000,982
Segredo,4320263,-29.352300000000,-52.976700000000,1040
Selbach,4320305,-28.629400000000,-52.949800000000,226
Senador Salgado Filho,4320321,-28.025000000000,-54.550699999990,2
Sentinela do Sul,4320354,-30.610700000000,-51.586199999990,1448
Serafina Corrêa,4320404,-28.712599999990,-51.935299999990,9265
Sério,4320453,-29.390400000000,-52.268500000000,15
Sertão,4320503,-27.979800000000,-52.258800000000,2469
Sertão Santana,4320552,-30.456199999990,-51.601700000000,1579
Sete de Setembro,4320578,-28.136199999990,-54.463700000000,386
Severiano de Almeida,4320602,-27.436199999990,-52.121699999990,1254
Silveira Martins,4320651,-29.646699999990,-53.591000000000,5
Sinimbu,4320677,-29.535699999990,-52.530500000000,2129
Sobradinho,4320701,-29.419400000000,-53.032600000000,8676
Soledade,4320800,-28.830600000000,-52.513100000000,15094
Tabaí,4320859,-29.643000000000,-51.682299999990,29
Tapejara,4320909,-28.065200000000,-52.009700000000,0
Tapera,4321006,-28.627700000000,-52.861199999990,6115
Tapes,4321105,-30.668299999990,-51.399099999990,10296
Taquara,4321204,-29.650500000000,-50.775300000000,40990
Taquari,4321303,-29.794300000000,-51.865299999990,17293
Taquaruçu do Sul,4321329,-27.400400000000,-53.470300000000,931
Tavares,4321352,-31.284300000000,-51.088000000000,2449
Tenente Portela,4321402,-27.371099999990,-53.758499999990,5741
Terra de Areia,4321436,-29.578199999990,-50.064399999990,5918
Teutônia,4321451,-29.448200000000,-51.804400000000,95
Tio Hugo,4321469,-28.574040000000,-52.594900000000,2
Tiradentes do Sul,4321477,-27.402200000000,-54.081400000000,1168
Toropi,4321493,-29.478200000000,-54.224400000000,724
Torres,4321501,-29.333400000000,-49.733300000000,37332
Tramandaí,4321600,-29.984100000000,-50.132199999990,49373
Travesseiro,4321626,-29.297699999990,-52.053199999990,5
Três Arroios,4321634,-27.500299999990,-52.144799999990,828
Três Cachoeiras,4321667,-29.448699999990,-49.927500000000,5419
Três Coroas,4321709,-29.513700000000,-50.773899999990,17173
Três de Maio,4321808,-27.780000000000,-54.235700000000,14628
Três Forquilhas,4321832,-29.538399999990,-50.070799999990,515
