ç
"Município","ibge","latitude","longitude","/Energia Elétr...umo/Residencial 1995 (MWh)"
"Jaguari","4311106","-29.493600000000","-54.703000000000","3.213"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","692"
"Jóia","4311155","-28.643500000000","-54.114100000000","993"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","6.455"
"Lagoa dos Três Cantos","4311270","-28.567599999990","-52.861800000000","293"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","9.322"
"Lagoão","4311254","-29.234800000000","-52.799700000000","18"
"Lajeado","4311403","-29.459099999990","-51.964399999990","26.105"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","..."
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","2.318"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","579"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","1.184"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","212"
"Machadinho","4311700","-27.566700000000","-51.666800000000","860"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","1.715"
"Maquiné","4311775","-29.679800000000","-50.207900000000","1.225"
"Maratá","4311791","-29.545700000000","-51.557299999990","253"
"Marau","4311809","-28.449800000000","-52.198599999990","8.960"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","1.405"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","428"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","432"
"Mata","4312104","-29.564900000000","-54.464100000000","970"
"Mato Leitão","4312153","-29.528500000000","-52.127800000000","517"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","1.047"
"Minas do Leão","4312252","-30.134599999990","-52.042299999990","2.550"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","711"
"Montauri","4312351","-28.646200000000","-52.076700000000","191"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","295"
"Montenegro","4312401","-29.682400000000","-51.467900000000","24.775"
"Mormaço","4312427","-28.696800000000","-52.699900000000","175"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","169"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","771"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","1.844"
"Mostardas","4312500","-31.105399999990","-50.916699999990","2.475"
"Muçum","4312609","-29.163000000000","-51.871400000000","2.107"
"Não-Me-Toque","4312658","-28.454799999990","-52.818199999990","5.808"
"Nonoai","4312708","-27.368900000000","-52.775599999990","3.103"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","98"
"Nova Araçá","4312807","-28.653700000000","-51.745800000000","840"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","1.734"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","119"
"Nova Bréscia","4313003","-29.218200000000","-52.031900000000","683"
"Nova Esperança do Sul","4313037","-29.406600000000","-54.829300000000","834"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","4.860"
"Nova Pádua","4313086","-29.027500000000","-51.309800000000","259"
"Nova Petrópolis","4313201","-29.374099999990","-51.113500000000","6.038"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","6.886"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","515"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","5.617"
