0,Município,ibge,latitude,longitude,MWh,ano
224,Nova Santa Rita,4313375,-29.852499999990,-51.283700000000,50.161,1995
225,Novo Barreiro,4313490,-27.907699999990,-53.110300000000,1.497,1995
226,Novo Hamburgo,4313409,-29.687600000000,-51.132800000000,409.274,1995
227,Novo Machado,4313425,-27.576499999990,-54.503599999990,4.126,1995
228,Osório,4313508,-29.888100000000,-50.266700000000,55.022,1995
229,Paim Filho,4313607,-27.707500000000,-51.762999999990,3.101,1995
230,Palmares do Sul,4313656,-30.253499999990,-50.510300000000,34.846,1995
231,Palmeira das Missões,4313706,-27.900600000000,-53.313400000000,29.714,1995
232,Palmitinho,4313805,-27.359600000000,-53.558000000000,3.919,1995
233,Panambi,4313904,-28.283300000000,-53.502299999990,45.085,1995
234,Pantano Grande,4313953,-30.190100000000,-52.372900000000,13.222,1995
235,Paraí,4314001,-28.596399999990,-51.789600000000,7.549,1995
236,Paraíso do Sul,4314027,-29.671700000000,-53.143999999990,5.397,1995
237,Pareci Novo,4314035,-29.636500000000,-51.397399999990,2.532,1995
238,Parobé,4314050,-29.624300000000,-50.831200000000,51.410,1995
239,Passo do Sobrado,4314076,-29.748000000000,-52.274799999990,4.817,1995
240,Passo Fundo,4314100,-28.257600000000,-52.409100000000,216.689,1995
241,Paverama,4314159,-29.548500000000,-51.733899999990,2.812,1995
242,Pedro Osório,4314209,-31.864200000000,-52.818399999990,10.690,1995
243,Pejuçara,4314308,-28.428300000000,-53.657899999990,3.472,1995
244,Pelotas,4314407,-31.764900000000,-52.337100000000,347.675,1995
245,Picada Café,4314423,-29.446400000000,-51.136699999990,9.394,1995
246,Pinhal Grande,4314472,-29.344999999990,-53.320700000000,1.668,1995
247,Pinheirinho do Vale,4314498,-27.210899999990,-53.607999999990,1.600,1995
248,Pinheiro Machado,4314506,-31.579400000000,-53.379800000000,61.884,1995
249,Pirapó,4314555,-28.043900000000,-55.200099999990,1.320,1995
250,Piratini,4314605,-31.447299999990,-53.097299999990,7.587,1995
251,Planalto,4314704,-27.329699999990,-53.057500000000,7.544,1995
252,Ponte Preta,4314787,-27.658700000000,-52.484800000000,1.246,1995
253,Portão,4314803,-29.701499999990,-51.242899999990,40.377,1995
254,Porto Alegre,4314902,-30.032778000000,-51.230000000000,2.435.961,1995
255,Porto Lucena,4315008,-27.856900000000,-55.009999999990,2.690,1995
256,Porto Mauá,4315057,-27.579599999990,-54.665700000000,1.687,1995
257,Porto Vera Cruz,4315073,-27.740500000000,-54.899400000000,620,1995
258,Porto Xavier,4315107,-27.908200000000,-55.137900000000,6.960,1995
259,Presidente Lucena,4315149,-29.517600000000,-51.179800000000,2.250,1995
260,Protásio Alves,4315172,-28.757200000000,-51.475700000000,1.439,1995
261,Putinga,4315206,-29.004500000000,-52.156900000000,2.159,1995
262,Quaraí,4315305,-30.384000000000,-56.448300000000,22.385,1995
263,Quevedos,4315321,-29.350400000000,-54.078899999990,593,1995
264,Quinze de Novembro,4315354,-28.746500000000,-53.101100000000,1.359,1995
265,Redentora,4315404,-27.664000000000,-53.640700000000,3.847,1995
266,Relvado,4315453,-29.116399999990,-52.077800000000,1.649,1995
267,Restinga Sêca,4315503,-29.818800000000,-53.380699999990,2.168,1995
268,Rio dos Índios,4315552,-27.297300000000,-52.841700000000,1.394,1995
269,Rio Grande,4315602,-32.034900000000,-52.107100000000,357.576,1995
270,Rio Pardo,4315701,-29.988000000000,-52.371099999990,33.499,1995
271,Riozinho,4315750,-29.638999999990,-50.448799999990,3.947,1995
272,Roca Sales,4315800,-29.288399999990,-51.865800000000,12.716,1995
273,Rolante,4316006,-29.646200000000,-50.581899999990,15.794,1995
274,Ronda Alta,4316105,-27.775800000000,-52.805599999990,7.581,1995
275,Rondinha,4316204,-27.831499999990,-52.908099999990,4.306,1995
276,Roque Gonzales,4316303,-28.129700000000,-55.026600000000,4.040,1995
277,Rosário do Sul,4316402,-30.251500000000,-54.922100000000,33.967,1995
278,Sagrada Família,4316428,-27.708500000000,-53.135100000000,666,1995
279,Saldanha Marinho,4316436,-28.394100000000,-53.097000000000,1.754,1995
280,Salto do Jacuí,4316451,-29.095099999990,-53.213299999990,8.136,1995
281,Salvador das Missões,4316477,-28.123300000000,-54.837299999990,1.790,1995
282,Salvador do Sul,4316501,-29.438600000000,-51.507700000000,970,1995
283,Sananduva,4316600,-27.946999999990,-51.807899999990,16.154,1995
284,Santa Bárbara do Sul,4316709,-28.365300000000,-53.250999999990,7.934,1995
285,Santa Cruz do Sul,4316808,-29.722000000000,-52.434300000000,194.463,1995
286,Santa Maria,4316907,-29.686800000000,-53.814999999990,256.065,1995
287,Santa Maria do Herval,4316956,-29.490200000000,-50.991900000000,5.083,1995
288,Santa Rosa,4317202,-27.870200000000,-54.479599999990,96.811,1995
289,Santa Tereza,4317251,-29.165500000000,-51.735100000000,2.396,1995
290,Santa Vitória do Palmar,4317301,-33.524999999990,-53.371699999990,48.976,1995
291,Santana da Boa Vista,4317004,-30.869700000000,-53.109999999990,2.801,1995
292,Santana do Livramento,4317103,-30.887699999990,-55.531500000000,81.311,1995
293,Santiago,4317400,-29.189699999990,-54.866599999990,38.312,1995
294,Santo Ângelo,4317509,-28.300100000000,-54.266800000000,88.769,1995
295,Santo Antônio da Patrulha,4317608,-29.826799999990,-50.517499999990,37.120,1995
296,Santo Antônio das Missões,4317707,-28.513999999990,-55.225099999990,1.641,1995
297,Santo Antônio do Palma,4317558,-28.495600000000,-52.026699999990,748,1995
298,Santo Augusto,4317806,-27.852599999990,-53.777600000000,17.319,1995
299,Santo Cristo,4317905,-27.826300000000,-54.661999999990,18.890,1995
300,Santo Expedito do Sul,4317954,-27.907399999990,-51.643300000000,680,1995
301,São Borja,4318002,-28.657800000000,-56.003599999990,109.440,1995
302,São Domingos do Sul,4318051,-28.531199999990,-51.886000000000,1.304,1995
303,São Francisco de Assis,4318101,-29.554700000000,-55.125300000000,13.195,1995
304,São Francisco de Paula,4318200,-29.440400000000,-50.582799999990,17.378,1995
305,São Gabriel,4318309,-30.333700000000,-54.321700000000,50.161,1995
306,São Jerônimo,4318408,-29.971599999990,-51.725099999990,14.169,1995
307,São João da Urtiga,4318424,-27.819500000000,-51.825699999990,2.624,1995
308,São João do Polêsine,4318432,-29.619399999990,-53.443899999990,86,1995
309,São Jorge,4318440,-28.498400000000,-51.706400000000,2.253,1995
310,São José das Missões,4318457,-27.778900000000,-53.122599999990,983,1995
311,São José do Hortêncio,4318481,-29.527999999990,-51.245000000000,4.774,1995
312,São José do Inhacorá,4318499,-27.725100000000,-54.127499999990,1.098,1995
313,São José do Norte,4318507,-32.015099999990,-52.033099999990,7.534,1995
314,São José do Ouro,4318606,-27.770700000000,-51.596600000000,5.921,1995
315,São José dos Ausentes,4318622,-28.747599999990,-50.067700000000,1.612,1995
316,São Leopoldo,4318705,-29.754500000000,-51.149799999990,312.302,1995
317,São Lourenço do Sul,4318804,-31.356400000000,-51.971499999990,39.345,1995
318,São Luiz Gonzaga,4318903,-28.411999999990,-54.955900000000,46.701,1995
319,São Marcos,4319000,-28.967700000000,-51.069600000000,27.860,1995
320,São Martinho,4319109,-27.711200000000,-53.969900000000,5.671,1995
321,São Martinho da Serra,4319125,-29.539700000000,-53.859000000000,917,1995
322,São Miguel das Missões,4319158,-28.556000000000,-54.555900000000,205,1995
323,São Nicolau,4319208,-28.183399999990,-55.265400000000,3.121,1995
324,São Paulo das Missões,4319307,-28.019500000000,-54.940399999990,3.558,1995
325,São Pedro do Butiá,4319372,-28.124300000000,-54.892600000000,4.305,1995
326,São Pedro do Sul,4319406,-29.620200000000,-54.185499999990,13.022,1995
327,São Sebastião do Caí,4319505,-29.588500000000,-51.374899999990,24.676,1995
328,São Sepé,4319604,-30.164300000000,-53.560299999990,26.354,1995
329,São Valentim,4319703,-27.558299999990,-52.523699999990,3.394,1995
330,São Valentim do Sul,4319711,-29.045100000000,-51.768400000000,1.633,1995
331,São Valério do Sul,4319737,-27.790600000000,-53.936799999990,705,1995
332,São Vendelino,4319752,-29.372900000000,-51.367500000000,1.018,1995
333,São Vicente do Sul,4319802,-29.688199999990,-54.682600000000,8.145,1995
334,Sapiranga,4319901,-29.634899999990,-51.006500000000,95.223,1995
335,Sapucaia do Sul,4320008,-29.827600000000,-51.145000000000,419.712,1995
336,Sarandi,4320107,-27.942000000000,-52.923099999990,15.987,1995
337,Seberi,4320206,-27.482900000000,-53.402600000000,6.365,1995
338,Sede Nova,4320230,-27.636700000000,-53.949300000000,2.368,1995
339,Segredo,4320263,-29.352300000000,-52.976700000000,1.484,1995
340,Selbach,4320305,-28.629400000000,-52.949800000000,286,1995
341,Sentinela do Sul,4320354,-30.610700000000,-51.586199999990,5.193,1995
342,Serafina Corrêa,4320404,-28.712599999990,-51.935299999990,20.017,1995
343,Sertão,4320503,-27.979800000000,-52.258800000000,6.982,1995
344,Sertão Santana,4320552,-30.456199999990,-51.601700000000,5.781,1995
345,Severiano de Almeida,4320602,-27.436199999990,-52.121699999990,2.759,1995
346,Sinimbu,4320677,-29.535699999990,-52.530500000000,5.498,1995
