"Município","ibge","latitude","longitude","/Energia Elétr...a/Consumo/Total 2007 (MWh)"
"Jari","4311130","-29.292200000000","-54.223700000000","1.012"
"Jóia","4311155","-28.643500000000","-54.114100000000","5.768"
"Júlio de Castilhos","4311205","-29.229800000000","-53.677199999990","27.964"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","2.833"
"Lagoa dos Três Cantos","4311270","-28.567599999990","-52.861800000000","1.272"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","39.087"
"Lagoão","4311254","-29.234800000000","-52.799700000000","780"
"Lajeado","4311403","-29.459099999990","-51.964399999990","423.035"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","338"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","6.931"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","4.701"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","19.178"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","1.773"
"Maçambará","4311718","-29.144500000000","-56.067399999990","12.477"
"Machadinho","4311700","-27.566700000000","-51.666800000000","5.383"
"Mampituba","4311734","-29.213600000000","-49.931100000000","2.038"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","8.503"
"Maquiné","4311775","-29.679800000000","-50.207900000000","11.766"
"Maratá","4311791","-29.545700000000","-51.557299999990","3.931"
"Marau","4311809","-28.449800000000","-52.198599999990","166.336"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","8.718"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","3.254"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","2.899"
"Mata","4312104","-29.564900000000","-54.464100000000","5.843"
"Mato Leitão","4312153","-29.528500000000","-52.127800000000","7.703"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","4.835"
"Minas do Leão","4312252","-30.134599999990","-52.042299999990","9.891"
"Miraguaí","4312302","-27.497000000000","-53.689100000000","4.970"
"Montauri","4312351","-28.646200000000","-52.076700000000","1.728"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","1.817"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","7.491"
"Montenegro","4312401","-29.682400000000","-51.467900000000","175.238"
"Mormaço","4312427","-28.696800000000","-52.699900000000","1.675"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","3.682"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","7.958"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","14.236"
"Mostardas","4312500","-31.105399999990","-50.916699999990","29.806"
"Muçum","4312609","-29.163000000000","-51.871400000000","14.917"
"Muitos Capões","4312617","-28.313199999990","-51.183599999990","5.074"
"Muliterno","4312625","-28.325299999990","-51.769700000000","247"
"Não-Me-Toque","4312658","-28.454799999990","-52.818199999990","33.252"
"Nonoai","4312708","-27.368900000000","-52.775599999990","11.025"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","5.530"
"Nova Araçá","4312807","-28.653700000000","-51.745800000000","23.908"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","33.056"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","2.856"
"Nova Bréscia","4313003","-29.218200000000","-52.031900000000","7.956"
"Nova Candelária","4313011","-27.613700000000","-54.107399999990","4.862"
"Nova Esperança do Sul","4313037","-29.406600000000","-54.829300000000","11.797"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","28.678"
"Nova Pádua","4313086","-29.027500000000","-51.309800000000","3.987"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","1"
"Nova Petrópolis","4313201","-29.374099999990","-51.113500000000","43.920"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","122.733"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","21.400"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","40.920"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","2.819"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","592"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","596.781"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","5.268"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","1.678"
"Osório","4313508","-29.888100000000","-50.266700000000","88.918"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","4.911"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","36.841"
"Palmeira das Missões","4313706","-27.900600000000","-53.313400000000","44.374"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","6.870"
"Panambi","4313904","-28.283300000000","-53.502299999990","78.877"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","17.227"
"Paraí","4314001","-28.596399999990","-51.789600000000","19.226"
"Paraíso do Sul","4314027","-29.671700000000","-53.143999999990","10.197"
